school_year,district,event_id,event_date,event_day,time,school,ensemble,classification,director,principal,piece_1,composer_1,grade_1,piece_2,composer_2,grade_2,piece_3,composer_3,grade_3,piece_4,composer_4,grade_4,final_rating,final_rating_num,match_status
2010-2011,6,551,"February 26, 2011",Saturday,10:30 am,Titusville High School Chamber Orchestra AS,,,Jennifer Zahn and Marcey Sperr (String Consultant),Dr. Lori Spinner,Concerto Grosso in D minor Vivaldi AS,,,"Two Norwegian Airs, Chanson Populaire Greig",,,"Simple Symphony, Mvt. 4 - Frolicsom Finale Britten AS",,,,,,Excellent,2,MATCHED
2010-2011,6,551,"February 26, 2011",Saturday,11:00 am,Galaxy Middle School GMS Advanced Orchestra ES,,,Ms. Clara Knotts (Director)/ Ms. Amy Plourde (Intern),Mr. Julian Jones,Roundelay in D Richard Stephan,,1,Finlandia Jean Sibelius/ Arr. Roy Phillippe,,1,Kabuki Dance Richard Meyer,,1,,,,,,UNMATCHED
2010-2011,6,551,"February 26, 2011",Saturday,11:30 am,David C. Hinson Sr. Middle School Chamber Orchestra ES,,,Kathy Finn,Leslie Sileo,Prince of Denmark Handel 1+,,,Fantasia For Strings DelBorgo II,,,Allegro For Two Trumpets Vivaldi 1+,,,,,,Excellent,2,MATCHED
2010-2011,6,551,"February 26, 2011",Saturday,12:00 pm,Titusville High School Full Orchestra CF,,,"Ian Schwindt, Jennifer Zahn and Marcey Sperr (String Consultant)",Dr. Lori Spinner,"Russian Sailors Dance from the ""Red Poppy"" Gliere/Isaac BF",,,The Sussex Mummers Christmas Carol Grainger/Kreines,,,Slavonic Dance No. 8 Dvorak/Isaac CF,,,,,,Superior,1,MATCHED
2010-2011,6,551,"February 26, 2011",Saturday,1:30 pm,Deltona Middle School DMS Advanced Orchestra ES,,,Ms. Clara Knotts (Director)/ Ms. Amy Plourde (Intern),Mr. Jim Bambrick,Hunters' Chorus (from Der Freischutz) Carl Maria von Weber/ Arr. Richard Meyer1,,,Skaters' Waltz Waldteufel/ Arr. Richard Meyer,,1,Hiawatha Soon Hee Newbold,,1,,,,,,UNMATCHED
2010-2011,6,551,"February 26, 2011",Saturday,2:00 pm,Seabreeze Senior High School String Orchestra BS,,,Dennis Scaccia,Robert Wallace,Wedding Day At Troldhaugen E. Grieg BS,,,Saison de Cordes F. Feese BS,,,Rienzi Overture R. Wagner BS,,,,,,Excellent,2,MATCHED
2010-2011,6,551,"February 26, 2011",Saturday,2:30 pm,Ormond Beach Middle School Chamber Orchestra DS,,,Kathy Finn,Carl Persis,Sinfonia in G Elliot DelBorgo II,,,Brandenburg Concerto # 5 Bach/ Issac II,,,Fanfare and Frippery Richard Stephan II,,,,,,Excellent,2,MATCHED
2010-2011,6,551,"February 26, 2011",Saturday,3:00 pm,University High School (Volusia) UHS Advanced Orchestra DS,,,Ms. Clara Knotts (Director)/ Ms. Amy Plourde (Intern),Mr. Dennis Neal,Symphony No. 4 (First Movement) William Boyce/ Arr. Del Borgo,,2,Spring Breezes (Folk Song from Taiwan) Arr. Meyer,,2,Quintus Larry Clark,,1.5,,,,Superior,1,MATCHED
2010-2011,6,551,"February 26, 2011",Saturday,3:30 pm,Spruce Creek High School Spruce Creek Orchestra CF,,,Dr. Monty Musgrave - Mr. Andrew Kidd,Todd Sparger,1812 Overture Tchaikosvsky/ Dabcynski,,,Shenandoah arr. Bullock,,,Encounters Bullock,,,"*An astrisk indicates the piece is one of the two required music list pieces, and counts toward the ensemble's classification.",,,Superior,1,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,12:00 pm,Osceola County School for the Arts (6-12) 6th Grade Beginner Orchestra ES,,,Heather Gullstrand,C. Mytron Lisby,Hiawatha Soon Hee Newbold,,1,Canyon Sunset Caponegro,,1,Dragonhunter Richard Meyer,,1,,,,Superior,1,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,12:30 pm,Southwest Middle School (Orange) Symphony Orchestra ES,,,Katherine Zeng,Matthew Arnold,"Voluntary and March Henry Purcell, arr. John Caponegro",,1,"La Rejouissance (from ""Royal Fireworks Music"") George F. Handel, arr. Richard Meyer",,1,The Ash Grove arr. Michael Hopkins,,1,,,,Excellent,2,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,1:00 pm,Glenridge Middle School Chamber Orchestra CS,,,Zhan Dolinskiy,Mrs. Heather Hilton,"Autumn from the ""Four Seasons"" Antonio Vivaldi/Deborah Baker Goldsmith3",,,Desperate Measures Owen Goldsmith,,3,Bold Venture M. L. Daniels,,4,,,,Superior,1,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,1:30 pm,Chain of Lakes Middle School Concert Orchestra ES,,,David N. Olsen,Karen Furno,New River Train Virginia Croft ES,,,Canyon Sunset John Caponegro ES,,,Gargoyles Doug Spata DS,,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,2:00 pm,Osceola County School for the Arts (6-12) Middle School Orchestra DS,,,Heather Gullstrand,C. Mytron Lisby,Phantom Train William Owens,,3,Le Froid De L'Hiver Soon Hee Newbold,,2,The Skyliners Jeffrey S. Bishop,,2,,,,Superior,1,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,2:30 pm,Seminole High School Concert Orchestra BS,,,Andrea Newhouse,Mike Gaudreau,Prelude from Holberg Suite Grieg/McBrien BS,,,St. Paul Suite - Mvt. 2 Holst AS,,,Capriccio Espagnol Rimsky-Korsakov/Dackow BS,,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,3:00 pm,Freedom Middle School (Orange) Chamber Orchestra DS,,,Jennifer Rhodes,Douglas W Szcinski,Westminster Prelude and Fugue Shaffer DS,,,Le Froid de L'Hiver Newbold DS,,,Rondeau Mouret / Leidig DS,,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,3:30 pm,Chain of Lakes Middle School Symphonic Orchestra CS,,,David N. Olsen,Karen Furno,Bavarian Rhapsody David Shaffer CS,,,Yorkshire Ballad James Barnes CS,,,Four Royal Dances Eric Ewazen CS,,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,4:00 pm,Osceola County School for the Arts (6-12) High School Orchestra CS,,,Heather Gullstrand,C. Mytron Lisby,Overture to Semiramide Rossini/Lipton,,3.5,Fire Dance Soon Hee Newbold,,4,Keltic Feast Richard Meyer,,3,,,,Superior,1,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,5:30 pm,Colonial High School Concert Orchestra DS,,,Jennifer Erickson,Paul V. Mitchell,Kingsbridge March W. Dyson DS,,,"Little Fugue G.F.Handel, arr. Siennicki DS",,,Ridin' the Rails R. Meyer CS,,,"*An astrisk indicates the piece is one of the two required music list pieces, and counts toward the ensemble's classification.",,,Excellent,2,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,6:00 pm,Chain of Lakes Middle School Chamber Orchestra CS,,,David N. Olsen,Karen Furno,American Landscape Soon Hee Newbold CS,,,Ye Bonnie Banks 'N' Braes Douglas E. Wagner CS,,,Contrasts in E minor Francis L. Feese CS,,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,6:30 pm,South Creek Middle School Chamber Orchestra DS,,,Jimmy Gilliam,Dr. Stefanie Shames,Rondo Round-up Jefferey Bishop,,,Sakura Sakura Elliot Del Borgo,,,Dance of the Tumblers Rimsky-Korsakoff/ Dackow,,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,7:00 pm,"Memorial Middle School (Orange) 6th, 7th, & 8th Grade Grand Orchestra ES",,,Osvaldo Quezada,Dr. Sheila Windom,Mozart Serenade and Dance John O'Reilly E,,,Fantasy on Greensleeves Mark Williams E,,,Super String Samba JosephCompello E,,,,,,Excellent,2,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,7:30 pm,Colonial High School Symphonic Orchestra CS,,,Jennifer Erickson,Paul V. Mitchell,"Concerto Grosso, Op. 6 No. 8 (selected mvts) A. Corelli, arr. Isaac",,,"Plaisir d'Amour G. Martini, arr. Longfield CS",,,Rhythm Sticks S. Atwell BS,,,,,,Excellent,2,MATCHED
2010-2011,8,372,"March 10, 2011",Thursday,8:00 pm,Freedom High School (Orange) Repertory Orchestra AS,,,Brian Hellhake,Harold Border,Short Overture for Strings Berger,,,Voyage Corigliano,,,"Mannheimer Sinfonien No. 1 Stamitz, Johann",,,,,,Excellent,2,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,12:00 pm,Dr. Phillips High School Symphonic Orchestra CS,,,Charles Watford,Eugene Trochinski,Arabian Dreams Newbold BS,,,Lullaby Hofeldt CS,,,Contrasts in e minor Feese CS,,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,12:30 pm,Liberty Middle School (Orange) Concert Orchestra DS,,,Jessica Talbott,Dr. Gonzalo La Cava,Gargoyles* Doug Spata DS,,,Appalacian Sunrise Doris Gazda DS,,,"Symphony No. 10 in G Major, K. 74: Final Mozart/ arr. Dakcow DS",,,,,,Excellent,2,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,1:00 pm,Avalon Middle School (Orange) Chamber Orchestra DS,,,Ross Amkraut,Judith Frank,Dragon Dances Soon Hee Newbold DS,,,Petite Tango C. B. Kriechbaum DS,,,Ukranian Folk Songs arr. Sandra Dackow,,,,,,Excellent,2,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,1:30 pm,Cypress Creek High School Sinfonia Orchestra CS,,,Jimmy Gilliam,Susan Storch,Danza Vaclav Nelhybel CS,,,Night Voyage Susan H. Day CS,,,Themes form the New World Symphony Antonin Dvorak/ Arr. Gruselle CS,,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,2:00 pm,Dr. Phillips High School Concerto Orchestra BS,,,Matt Kaminskas,Eugene Trochinski,Four Royal Dances Ewazen CS,,,As Summer Was Just Beginning Daehn,,,Chapter One Nunez BS,,,"*An astrisk indicates the piece is one of the two required music list pieces, and counts toward the ensemble's classification.",,,Superior,1,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,2:30 pm,Maitland Middle School Advanced Orchestra DS,,,Lisa Hopko,Eric Lundman,Gauntlet Spata,,2,Suo Gan Traditional/Strommen,,2,"""Finale"" Symphony No. 2 in C Tchaikowsky/Dackow",,2.5,,,,Superior,1,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,3:00 pm,Avalon Middle School (Orange) The Avalon Sinfonia CS,,,Ross Amkraut,Judith Frank,Follow The Drinking Gourd Carrie Lane Gruselle CS,,,A Quiet Music Douglas E. Wagner CS,,,Dance Diabolique Jared Spears,,,,,,Excellent,2,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,3:30 pm,Dr. Phillips High School Chamber Orchestra AF,,,Charles Watford,Eugene Trochinski,Hungarian march Hector Berlioz AF,,,October Eric Whitacre BS,,,Finale from New World Symphony Antonin Dvorak AF,,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,5:00 pm,Maitland Middle School Chamber Orchestra CS,,,Lisa Hopko,Eric Lundman,Suite from Don Juan Gluck/McCashin,,3.5,Ballade Bishop,,3,M to the Third Power Nunez,,3,,,,Superior,1,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,5:30 pm,Lake Highland Preparatory School String Orchestra DS,,,Natalie Deen,Debbie Deloach,Snow Day Sleddin' Stephen Bulla,,,Be Thou My Vision Arr. Robert Frost 1+,,,Evening Colors Doug Spata,,2.5,,,,Good,3,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,6:00 pm,Hunter's Creek Middle School Symphonia ES,,,Beth Bichler,Dr. Anne Carcara,"Allegro from ""Concerto for Two Trumpets"" Vivaldi/Phillips",,,Fantasy of Greensleeves Williams ES,,,Eclipsys O'Loughlin ES,,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,6:30 pm,Winter Park High School Symphonic Orchestra BS,,,Laurie Bitters,Mr. Tim Smith,Lullaby William Hofeldt CS,,,Symphony for Strings No. 1 Jeffrey S. Bishop BS,,,Jamboree Alexander Safford BS,,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,7:00 pm,Freedom High School (Orange) Concert Orchestra CS,,,Brian Hellhake,Harold Border,Corelli Suite Corelli / Bauernschmidt,,,O Mio Bambino Caro Puccini / McLeod,,,Dos Fuegos Sieving,,,,,,Excellent,2,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,7:30 pm,Lake Highland Preparatory School Middle School String Orchestra CS,,,Natalie Deen,Debbie Deloach,English Fugue William Selby Arr. Art Sheinberg,,3,Fantasia on an Original Theme Joseph J. Phillips,,,Viva Rossini Gioachino Rossini Arr. Lloyd Conley,,,,,,Good,3,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,8:00 pm,Hunter's Creek Middle School Chamber Orchestra DS,,,Beth Bichler,Dr. Anne Carcara,Vanguard Overture Stephan CS,,,Korean Folk Tune arr. by Meyer DS,,,A Modal Festival Marsh DS,,,"*An astrisk indicates the piece is one of the two required music list pieces, and counts toward the ensemble's classification.",,,Superior,1,MATCHED
2010-2011,8,372,"March 11, 2011",Friday,8:30 pm,Winter Park High School Philharmonic Orchestra AF,,,Laurie Bitters,Mr. Tim Smith,Adagio pour Quatour d'Orchestre Guillaume Lekeu AS,,,Outdoor Overture Aaron Copland AF,,,"Symphony No. 2, I Alexander Borodin AF",,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 12, 2011",Saturday,10:00 am,Olympia High School Concerti Strings DS,,,Michael A. Simpson,Jenny Gibson-Linkh,"Harmonious Blacksmith Suite, Mvts. 1 & 4 Handel / Isaac DS",,,"Sakura, Sakura arr. Del Borgo DS",,,Contredanse Clark DS,,,,,,,,UNMATCHED
2010-2011,8,372,"March 12, 2011",Saturday,10:30 am,Edgewater High School String Orchestra CS,,,Paul Wilson,Michele Erickson,Dance Suite for Strings Maurice C. Whitney / Ed. John Whitney,,,Dorian Variations For String Orchestra Brian Israel CS,,,Battle Hymn Fantasia Elliott A. DelBorgo CS,,,,,,Superior,1,MATCHED
2010-2011,8,372,"March 12, 2011",Saturday,11:00 am,Meadow Woods Middle School Concert Orchestra DS,,,Joanna Sell,"Dr. Isom ""Chuck"" Rivers",British Grenadiers Arr. By John Caponegro,,2,Wisteria Waltz Carole Neuen-Rabinowitz,,2,Festive Rondo Robert S. Frost,,2,,,,Excellent,2,MATCHED
