"TITLE  5,407",COMPOSER,ARR./ED./TRANS./ADAPT.,PMEA GRADE LEVEL,PUBLISHER ,# SOURCE LISTS,OOP/POD/RENTAL
Above the World,"Grice, Rob",,1,Barnhouse,1,
12873465,"Bukvich, Daniel",,2,,1,
...and the antelope play,"Carnahan, John Alan", ,3,Manhattan Beach ,3,
...and the mountains rising nowhere,"Schwantner, Joseph", ,6,European American,3,
...In Endless Song,"Lowry, Robert","Standridge, Randall ",3,Wingert-Jones,1,
...music speaks,"Standridge, Randall",,3,Self,1,
...Not Afraid to Dream,"Balmages, Brian",,3,FJH,1,
(Redacted),"Mackey, John",,5,Osti,2,
12 Day Dreams,"Wilson, Dana",,6,,1,
17th Century Italian Suite,"Cacavas, John",,3,Warner Bros.,2,OOP
1812 Overture,"Tchaikovsky, P.I. ","Hindsley, Mark",6,Hindsley Transcriptions,2,
1812 Overture,"Tchaikovsky, P.I. ","Lake, Mayhew L. ",6,Carl Fischer,2,
A La Battaglia  ,"Isaac, Merle","Johnson, Timothy",5,Medici ,1,
A La Machaut,"Boss, Andrew",,4,Murphy   ,3,
a moment,"Heiny, Chad",,3,C. Alan,1,
Abaco Overture,"Lopez, Victor",,3,Belwin,1,
"Abduction (from ""Seraglio Overture"")","Mozart, W.A.","Isaac, Merle",4,Warner Bros.,2,OOP
"Abduction (from ""Seraglio Overture"")","Mozart, W.A.","Longfield, Robert",4,FJH,1,
Abington Ridge,"Huckeby, Ed",,2,Barnhouse,1,
Above and Beyond,"Schwarz, Gerard",,6,Music Sales Classical,1,
Abracadabra,"Ticheli, Frank", ,3,Manhattan Beach ,5,
Abram's Pursuit,"Holsinger, David",,5,TRN,2,
Academic Festival Overture,"Brahms, Johannes","Curnow, James",3,Curnow,2,
Academic Festival Overture,"Brahms, Johannes","Hindsley, Mark",6,Hindsley Transcriptions,4,
Academic Festival Overture,"Brahms, Johannes",Huffinagle,1,Alfred/Belwin,1,OOP
Academic Festival Overture,"Brahms, Johannes","Kreines, Joseph",6,Kreines,1,
Academic Festival Overture,"Brahms, Johannes","Patterson, Merlin",6,Merlin Patterson,1,
Academic Festival Overture,"Brahms, Johannes","Safranek, V.F.",6,Carl Fischer,1,
Acadiana ,"Ticheli, Frank",,5,Manhattan Beach,2,
Acceptance,"Poor, Andrew",,3,Northeastern,1,
Acclaim,"Grice, Rob",,2,Wingert-Jones,1,
Acclamation,"Smith, Claude T.",,4,Wingert-Jones,1,
Accolade,"Himes, William", ,2,Hal Leonard,2,
Accolade: Fanfare for the Fiftieth,"Lortz, Mark",,2,Wingert-Jones,1,
Acropolis,Putnam,,1,Excelcia,1,
Across the Currituck Sound,"Hosay, James",,2,Curnow,1,
Across the Great Divide,"Romeyn, Rob",,3,Barnhouse,1,
Across the Great Plains,"Owens, William",,3,FJH,1,
Across the Sunlit Path,"Wada, Naoya",,1,Alfred,1,
Acrostic Song,"Del Tredici, David","Spede, Mark",3,Boosey & Hawkes,4,
Adagietto,"de Haan, Jacob",,2,De Haske,1,
Adagio,"Bach, J.S.","McAlister, Clark",4,Kalmus,1,
"Adagio (from ""Sonata V"")","Corelli, Arcangelo",DeCamp,3,Shawnee,1,
"Adagio (from ""Symphony No. 7"")","Bruckner, Anton","Walker, Mark",5,BAS,1,
Adagio and Allegro,"Corelli, Arcangelo","Siennicki, Edmund",2,Ludwig,2,
Adagio and Allegro,"Mozart, W.A.","Beeler, Walter",3,Hansen,1,
Adagio and Dance,Adderly,,2,Self,1,
Adagio and Fugue,"Mozart, W.A.","Kreines, Joseph",6,Kreines,1,
"Adagio Cantabile (from ""Sonata Pathetique"")","Beethoven, Ludwig van","Daehn, Larry",3,Daehn,1,
"Adagio Cantabile (from ""Sonata Pathetique"")","Beethoven, Ludwig van","Osterling, Eric",2,Carl Fischer,1,OOP
Adagio for Winds,"Daehn, Larry",,3,Daehn,1,
Adagio for Winds,"Del Borgo, Elliot", ,3,Shawnee,7,
Adagio Para Instrumentos de Viento,"Rodrigo, Joaquin",,6,Piles Editorial de Musica,1,
Adagio Sostenuto,"Muffat, George","Frackenpohl, Arthur",2,Alfred/Belwin,1,OOP
Adirondack Festival Overture,"Bulla, Stephen",,4,Hal Leonard,1,
Adrenaline City,"Gorb, Adam",,5,Studio,2,
Adrenaline Engines,"Standridge, Randall",,3,Grand Mesa,1,
Adventure on Snake River,"Brien, Colin",,2,Kjos,1,
Adventures,"Spears, Jared",,2,Barnhouse,2,
