Title,Composer,Arranger,Grade
Bandology,"Osterling, E.",,
Italian Masters Suite,"Gordon, P.",,2.0
Grant Them Rest,Faure,Buehlman,3.0
Courtly Festival,"Gordon, P.",,3.0
Citadel,"Erickson, F.",,
Omega March,"Edmondson, J.",,
Emblem of Victory,"Del Borgo, E.",,
Sunliner,"Osterling, E.",,
"Prelude To Act III of ""Kunihild""","Kistler, C.",Kreines,5.0
Pavane,Faure,Clark,3.0
All the Pretty Horses,"McGinty, A.",,2.0
William Byrd Suite (any 3 mvts.),"Jacob, G.",,5.0
Hammersmith,"Holst, G.",,6.0
West Highland Sojourn,"Sheldon, R.",,3.0
Solas Ane,"Hazo, S.",,4.0
Venetian Masters Suite,"Gordon, P.",,4.0
"Polka and Fugue from ""Schwanda""","Weinberger, J.",Bainum,6.0
Little Schumann Set,"Hartzell, D.",,2.0
British Isles Suite,"Daehn, L.",,3.0
Les Preludes,Liszt,Hindsley,6.0
Parade of the Tall Ships,"Chattaway, J.",,
"""Early One Morning"" March","Mruzek, D.",,
Le Sabre  March,"Osterling, E.",,
The Water is Wide,"Kirby, R.",,4.0
Sinfonia V,"Broege, T.",,6.0
"Overture For Band, Op. 24",Mendelssohn-Bartoldy,Garofalo,6.0
Triton,"Mcginty, A.",,1.0
Greensleeves,Reed,,3.0
Ghost Train,"Whitacre, E.",,5.0
Gavorkna Fanfare,"Stamp, J.",,5.0
Fantasia for Band,Tsuji,,5.0
Fanfare and Fantasy,"Mcginty, A.",,3.0
Tulsa,Gillis,,5.0
Puszta,"Roost, V.",,3.0
Passacaglia for Band,Mcginty,,4.0
River Valley Serenade,Wilson,,1.0
Introit,Tull,,3.0
Chorale Prelude: All Things Bright & Beautiful,"Smith, C.",,1.0
Jericho Rhapsody,"Gould, M.",,5.0
Suite From The Planets,Holst,Custer,2.0
Little Suite for Band,Erickson,,1.0
Tientikos,"Mcginty, A.",,3.0
Sensemaya,Revueltas,,5.0
Czech Masters Suite,Gordon,,2.0
Emerald Point Overture,Mcginty,,1.0
Seacliffe Overture,Curnow,,3.0
Danse Celestial,Sheldon,,3.0
Eagle Point Overture,Mcginty,,1.0
"Finale, Symphony No. 4 in F. Minor","Tchaikovsky, P.",,6.0
Finale from New World Symphony,"Dvorak, A.",,6.0
Spiritual,"Spears, J.",,3.0
Waltz from Sleeping Beauty,"Tchaikovsky, P.",,3.0
After a Gentle Rain,"Innacone, A.",,6.0
Danse Bacchanale,"Saint Saens, C.",,6.0
Renaissance Dances,"Meyers, T.",,3.0
"Slavonic Dances, The","Dvořák, A.",,5.0
Three Irish Folk Songs,Mcginty,,1.0
Eaglerock Overture,"Williams, J.",,2.0
Suite for Bohemia,"Nelhybel, V.",,3.0
Prelude & Fugue in C minor,Bach,Volz,5.0
